mathematicians,occupation,country of citizenship,place of birth,date of death,educated at,employer,place of death,member of,employer,doctoral advisor,"languages spoken, written or signed",academic degree,doctoral student,manner of death,position held,field of work,award received,Erdős number,instance of,sex or gender,approx. date of birth,day of birth,month of birth,year of birth,approx. date of death,day of death,month of death,year of death,
Derek W. Moore,"['mathematician', 'university teacher', 'saxophonist']",['United Kingdom'],South Shields,15-Jul-08,['University of Cambridge'],NULL,NULL,"['Royal Society', '1990', 'American Academy of Arts and Sciences']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['Fellow of the Royal Society', '1990']",NULL,['human'],['male'],FALSE,19,April,1931,FALSE,15,July,2008,
Robert Hamilton (economist),"['economist', 'mathematician']",NULL,NULL,14 July 1829,"['University of Edinburgh', 'Royal High School']",NULL,NULL,['Royal Society of Edinburgh'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,11,June,1743,FALSE,14,July,1829,
Tomasz Łuczak,['mathematician'],['Poland'],Poznań,NULL,['Adam Mickiewicz University in Poznań'],['Emory University'],NULL,NULL,['Emory University'],NULL,NULL,NULL,NULL,NULL,NULL,['combinatorics'],NULL,['1±0'],['human'],['male'],FALSE,13,March,1963,FALSE,NULL,NULL,NULL,
Edwin Thompson Jaynes,"['physicist', 'statistician', 'mathematician']",['United States of America'],Waterloo,30-Apr-98,['Princeton University'],['Washington University in St. Louis'],['Missouri'],NULL,['Washington University in St. Louis'],['Eugene Wigner'],NULL,NULL,NULL,NULL,NULL,['statistical physics'],NULL,NULL,['human'],['male'],FALSE,5,July,1922,FALSE,30,April,1998,
Daniel Rider,['mathematician'],NULL,NULL,11-Jul-08,"['Stanford University', 'University of Wisconsin–Madison']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,11,July,2008,
Wally Smith (mathematician),['statistician'],['United States of America'],London,NULL,"['University of Cambridge', 'University of North Carolina at Chapel Hill']",['University of North Carolina at Chapel Hill'],NULL,NULL,['University of North Carolina at Chapel Hill'],['Henry Daniels'],NULL,NULL,NULL,NULL,NULL,NULL,['John Simon Guggenheim Memorial Foundation Fellowship'],NULL,['human'],['male'],FALSE,12,November,1926,FALSE,NULL,NULL,NULL,
Paul Rabinowitz,"['mathematician', 'university teacher']",['United States of America'],Newark,NULL,NULL,['University of Wisconsin–Madison'],NULL,"['American Mathematical Society', 'National Academy of Sciences', 'American Academy of Arts and Sciences']",['University of Wisconsin–Madison'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['John Simon Guggenheim Memorial Foundation Fellowship', 'George David Birkhoff Prize', '1998']",['3±0'],['human'],['male'],FALSE,15,November,1939,FALSE,NULL,NULL,NULL,
Julian Hails,"['mathematician', 'association football player']",['United Kingdom'],Lincoln,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,20,November,1967,FALSE,NULL,NULL,NULL,
Erling Størmer,"['mathematician', 'professor']",['Norway'],Oslo,NULL,['Columbia University'],['University of Oslo'],NULL,"['Norwegian Academy of Science and Letters', 'American Mathematical Society']",['University of Oslo'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['Q18637028', '2004']",['3±0'],['human'],['male'],FALSE,2,November,1937,FALSE,NULL,NULL,NULL,
Jonathan Keating,['mathematician'],['United Kingdom'],NULL,NULL,NULL,NULL,NULL,['Royal Society'],NULL,['Michael Victor Berry'],NULL,NULL,NULL,NULL,NULL,NULL,"['Fröhlich Prize', '2010']",NULL,['human'],['male'],FALSE,20,September,1963,FALSE,NULL,NULL,NULL,
Noam Elkies,"['mathematician', 'chess composer', 'university teacher', 'chess player']",['United States of America'],New York City,NULL,"['Harvard University', 'Columbia University', 'Stuyvesant High School']","['Harvard University', 'Radcliffe College']",NULL,['National Academy of Sciences'],"['Harvard University', 'Radcliffe College']",['Benedict Gross'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['2±0'],['human'],['male'],FALSE,25,August,1966,FALSE,NULL,NULL,NULL,
George Blakley,"['mathematician', 'cryptographer', 'computer scientist']",['United States of America'],NULL,NULL,['Georgetown University'],"['Texas A&M University', 'University of Illinois at Urbana–Champaign', 'University at Buffalo, The State University of New York']",NULL,NULL,"['Texas A&M University', 'University of Illinois at Urbana–Champaign', 'University at Buffalo, The State University of New York']",NULL,NULL,NULL,NULL,NULL,NULL,['number theory'],NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Ashot Petrosian,"['mathematician', 'computer scientist']","['Soviet Union', 'Armenia']",Vardenis,23-Feb-98,['Moscow State University'],NULL,['Dilijan'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,2,June,1930,FALSE,23,February,1998,
Amnon Yekutieli,['mathematician'],['Israel'],Rehovot,NULL,"['Hebrew University of Jerusalem', 'Massachusetts Institute of Technology']",NULL,NULL,NULL,NULL,['Michael Artin'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,21,August,1959,FALSE,NULL,NULL,NULL,
Michael Golomb,['mathematician'],['United States of America'],NULL,4/9/2008,NULL,['Purdue University'],NULL,NULL,['Purdue University'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['1±0'],['human'],['male'],FALSE,3,May,1909,FALSE,9,April,2008,
Bruce Harding,"['engineer', 'gemcutter', 'mathematician']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
František Josef Studnička,"['mathematician', 'educator', 'writer', 'science fiction writer']",['Czech Republic'],Janov,21-Feb-03,NULL,NULL,['Prague'],NULL,NULL,NULL,['Czech'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,27,June,1836,FALSE,21,February,1903,
Cornelis Simon Meijer,"['mathematician', 'university teacher']",['Kingdom of the Netherlands'],Pieterburen,12-Apr-74,['University of Groningen'],['University of Groningen'],NULL,NULL,['University of Groningen'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,17,August,1904,FALSE,12,April,1974,
Arthur P. Dempster,['statistician'],['United States of America'],Toronto,NULL,['Princeton University'],['Harvard University'],NULL,NULL,['Harvard University'],['John Tukey'],NULL,NULL,NULL,NULL,NULL,NULL,['John Simon Guggenheim Memorial Foundation Fellowship'],['2±0'],['human'],['male'],FALSE,1,January,1929,FALSE,NULL,NULL,NULL,
Vincent Moncrief,"['mathematician', 'physicist']",['United States of America'],NULL,NULL,NULL,"['University of California, Berkeley', 'University of Utah', 'Yale University']",NULL,NULL,"['University of California, Berkeley', 'University of Utah', 'Yale University']",['Charles W. Misner'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
David Glass (sociologist),"['sociologist', 'statistician', 'university teacher']",['United Kingdom'],London,23-Sep-78,['London School of Economics'],['London School of Economics'],NULL,"['Royal Society', 'National Academy of Sciences', 'British Academy', 'American Academy of Arts and Sciences']",['London School of Economics'],NULL,['English'],NULL,NULL,NULL,NULL,NULL,['Fellow of the Royal Society'],NULL,['human'],['male'],FALSE,2,January,1911,FALSE,23,September,1978,
Mieczysław Warmus,"['computer scientist', 'mathematician']",['Poland'],NULL,20-Sep-07,NULL,['University of Warsaw'],['Australia'],NULL,['University of Warsaw'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,1,June,1918,FALSE,20,September,2007,
Stanley Skewes,"['mathematician', 'university teacher']",['South Africa'],South Africa,1988,['University of Cambridge'],NULL,['South Africa'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['number theory'],NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1899,FALSE,NULL,NULL,1988,
Otto Schmidt,"['astronomer', 'mathematician', 'explorer', 'politician', 'university teacher']","['Russian Empire', '1917', 'Russian Republic', '1917', 'Russian Soviet Federative Socialist Republic', '1917', '1922', 'Soviet Union', '1922']","Mogilyov, Russian Empire, Mogilev Governorate",7-Sep-56,['Taras Shevchenko National University of Kyiv'],NULL,"['Moscow', 'Soviet Union', 'Russian Soviet Federative Socialist Republic']","['National Academy of Sciences of Ukraine', '27 May 1934', 'Q4431796', 'Academy of Sciences of the USSR', '1 February 1933', '1 June 1935', 'corresponding member', 'Q4059137', 'Russian Academy of Sciences']",NULL,['Dmitry Grave'],['Russian'],NULL,NULL,['natural causes'],NULL,"['group theory', 'astronomy']","['Hero of the Soviet Union', 'Order of Lenin', 'Order of Lenin', 'Order of Lenin', 'Order of the Red Banner of Labour', 'Order of the Red Banner of Labour', 'Order of the Red Star', 'Medal ""For Valiant Labour in the Great Patriotic War 1941–1945""', 'Medal ""In Commemora",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
Claude LeBrun,['mathematician'],['United States of America'],NULL,NULL,['University of Oxford'],NULL,NULL,['American Mathematical Society'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,26,November,1956,FALSE,NULL,NULL,NULL,
John C. Oxtoby,['university teacher'],['United States of America'],Saginaw,2-Jan-91,"['Harvard University', 'University of California, Berkeley']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1910,FALSE,2,January,1991,
Julius König,"['mathematician', 'university teacher']",['Hungary'],Győr,8-Apr-13,NULL,NULL,['Budapest'],['Hungarian Academy of Sciences'],NULL,['Leo Königsberger'],['Hungarian'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,16,December,1849,FALSE,8,April,1913,
John Alan Robinson,"['mathematician', 'computer scientist', 'engineer']","['United Kingdom', 'United States of America']",Yorkshire,5-Aug-16,"['University of Cambridge', 'Princeton University', 'University of Oregon']","['Rice University', 'Syracuse University']",['Portland'],['Association for the Advancement of Artificial Intelligence'],"['Rice University', 'Syracuse University']",['Carl Gustav Hempel'],['English'],NULL,NULL,NULL,NULL,['mathematics'],"['John Simon Guggenheim Memorial Foundation Fellowship', 'Herbrand Award', '1996']",NULL,['human'],['male'],FALSE,NULL,NULL,1930,FALSE,5,August,2016,
Dominique Perrin,['mathematician'],NULL,NULL,NULL,['Paris Diderot University'],NULL,NULL,NULL,NULL,['Marcel-Paul Schützenberger'],NULL,NULL,['Maxime Crochemore'],NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,11,May,1946,FALSE,NULL,NULL,NULL,
Marty Golubitsky,['mathematician'],['United States of America'],Philadelphia,NULL,"['University of Pennsylvania', 'Massachusetts Institute of Technology']","['University of Toronto', 'University of Minnesota', 'Rice University', 'University of Houston', 'Arizona State University']",NULL,"['American Mathematical Society', 'American Academy of Arts and Sciences']","['University of Toronto', 'University of Minnesota', 'Rice University', 'University of Houston', 'Arizona State University']",NULL,['English'],NULL,NULL,NULL,NULL,NULL,NULL,['2±0'],['human'],['male'],FALSE,5,April,1945,FALSE,NULL,NULL,NULL,
Nancy Reid,"['mathematician', 'statistician', 'university teacher']",['Canada'],Canada,NULL,NULL,"['University of Toronto', 'University of British Columbia']",NULL,"['Royal Society of Canada', 'National Academy of Sciences']","['University of Toronto', 'University of British Columbia']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['Officer of the Order of Canada', 'Fellow of the Royal Society of Edinburgh', '2015']",NULL,['human'],['female'],FALSE,17,September,1952,FALSE,NULL,NULL,NULL,
George Robin Henderson,[''],NULL,NULL,2/21/2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,23,April,1941,FALSE,21,February,2016,
Panagiota Daskalopoulos,"['mathematician', 'university teacher']","['Greece', 'United States of America']",NULL,NULL,"['National and Kapodistrian University of Athens', '1986', ""bachelor's degree"", 'mathematics', 'University of Chicago', '1992', 'doctoral degree', 'mathematics']","['Columbia University', '2001', 'Institute for Advanced Study', 'visiting professor', 'University of Minnesota', '1993', '1995', 'University of California, Irvine', '1995', '2001']",NULL,"['Mathematical Sciences Research Institute', '2013', '2017']","['Columbia University', '2001', 'Institute for Advanced Study', 'visiting professor', 'University of Minnesota', '1993', '1995', 'University of California, Irvine', '1995', '2001']",NULL,['Modern Greek'],NULL,NULL,NULL,NULL,NULL,['John Simon Guggenheim Memorial Foundation Fellowship'],NULL,['human'],['female'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Stepan Rumovsky,"['mathematician', 'astronomer']",['Russian Empire'],NULL,18 July 1812,['Academic University at the St. Petersburg Academy of Sciences'],['Academic University at the St. Petersburg Academy of Sciences'],['Saint Petersburg'],['Russian Academy of Sciences'],['Academic University at the St. Petersburg Academy of Sciences'],['Leonhard Euler'],NULL,NULL,NULL,NULL,NULL,"['pure mathematics', 'Austronomia']",NULL,NULL,['human'],['male'],FALSE,9,November,1734,FALSE,18,July,1812,
Mark Ronan,['mathematician'],['United States of America'],NULL,NULL,NULL,['University College London'],NULL,NULL,['University College London'],NULL,NULL,NULL,NULL,NULL,NULL,['group theory'],NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1947,FALSE,NULL,NULL,NULL,
Olof Hanner,"['mathematician', 'university teacher']",['Sweden'],Stockholm,19-Sep-15,['Stockholm University'],NULL,['Gothenburg'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,7,December,1922,FALSE,19,September,2015,
Samuel Kotz,['statistician'],['United States of America'],Harbin,3/16/2010,NULL,NULL,NULL,NULL,NULL,NULL,['English'],NULL,NULL,NULL,NULL,NULL,NULL,['2±0'],['human'],['male'],FALSE,30,August,1930,FALSE,16,March,2010,
Mike Keith (mathematician),['mathematician'],['United States of America'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1955,FALSE,NULL,NULL,NULL,
Leonard Schulman,['computer scientist'],['United States of America'],NULL,NULL,['Massachusetts Institute of Technology'],['California Institute of Technology'],NULL,NULL,['California Institute of Technology'],['Michael Sipser'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Avner Ash,['mathematician'],NULL,NULL,NULL,['Harvard University'],NULL,NULL,['American Mathematical Society'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Alan Tucker,['mathematician'],['United States of America'],NULL,NULL,"['Harvard University', 'Stanford University']",NULL,NULL,['American Mathematical Society'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['2±0'],['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Henry Laufer,['mathematician'],['United States of America'],NULL,NULL,['Princeton University'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1945,FALSE,NULL,NULL,NULL,
Hideo Shimizu,['mathematician'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Marston Conder,['mathematician'],['New Zealand'],NULL,NULL,['University of Oxford'],NULL,NULL,['American Mathematical Society'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['graph theory', 'group theory']","['Hector Memorial Medal', '2014']",['2±0'],['human'],['male'],FALSE,NULL,September,1955,FALSE,NULL,NULL,NULL,
James Goodnight,"['entrepreneur', 'statistician', 'businessperson', 'computer scientist']",['United States of America'],Salisbury,NULL,['North Carolina State University'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,6,January,1943,FALSE,NULL,NULL,NULL,
Félix Alcan,"['mathematician', 'publisher']",['France'],Metz,18-Feb-25,['École Normale Supérieure'],NULL,['Paris'],NULL,NULL,NULL,['French'],NULL,NULL,NULL,NULL,NULL,['Officer of the Legion of Honour'],NULL,['human'],['male'],FALSE,18,March,1841,FALSE,18,February,1925,
John Nunn,"['chess composer', 'chess player', 'mathematician', 'non-fiction writer']",['United Kingdom'],London,NULL,['Oriel College'],NULL,NULL,NULL,NULL,NULL,['English'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,25,April,1955,FALSE,NULL,NULL,NULL,
Jean Taylor,"['mathematician', 'university teacher']",['United States of America'],San Mateo,NULL,"['Princeton University', 'University of California, Berkeley', 'University of Warwick', 'Mount Holyoke College']",['Rutgers University'],NULL,"['American Mathematical Society', 'American Academy of Arts and Sciences']",['Rutgers University'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['3±0'],['human'],['female'],FALSE,17,September,1944,FALSE,NULL,NULL,NULL,
Helen Wilson (mathematician),['mathematician'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['female'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
David Spiegelhalter,"['mathematician', 'statistician']",['United Kingdom'],NULL,NULL,"['Keble College', 'University College London']",NULL,NULL,['Royal Society'],NULL,['Adrian Smith'],NULL,NULL,NULL,NULL,NULL,NULL,"['Fellow of the Royal Society', 'Officer of the Order of the British Empire']",NULL,['human'],['male'],FALSE,16,August,1953,FALSE,NULL,NULL,NULL,
Muhammad Yousuf,['mathematician'],NULL,Mansehra,NULL,NULL,NULL,NULL,NULL,NULL,['Edmund Robertson'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,23,July,1946,FALSE,NULL,NULL,NULL,
D. G. Champernowne,"['economist', 'mathematician', 'statistician']",['United Kingdom'],Oxford,19-Aug-00,"['London School of Economics', 'University of Cambridge']",['University of Oxford'],['Cambridge'],['British Academy'],['University of Oxford'],['John Maynard Keynes'],NULL,NULL,NULL,NULL,NULL,NULL,['Adam Smith Prize'],NULL,['human'],['male'],FALSE,9,July,1912,FALSE,19,August,2000,
Ronald Rivlin,"['engineer', 'mathematician']","['United Kingdom', 'United States of America']",London,4-Oct-05,"[""St John's College""]",['Brown University'],['Palo Alto'],"['Lincean Academy', 'American Academy of Arts and Sciences']",['Brown University'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['Timoshenko Medal', '1987', 'Charles Goodyear Medal']",NULL,['human'],['male'],FALSE,6,May,1915,FALSE,4,October,2005,
Albert Eagle,['mathematician'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Gabriel Lamé,"['mathematician', 'physicist', 'engineer', 'university teacher']",['France'],Tours,1 May 1870,"['École Polytechnique', 'Mines ParisTech']",['École Polytechnique'],['Paris'],"['Société Philomathique de Paris', 'Royal Swedish Academy of Sciences', 'French Academy of Sciences', 'Prussian Academy of Sciences']",['École Polytechnique'],NULL,['French'],NULL,NULL,NULL,NULL,['mathematics'],['Officer of the Legion of Honour'],NULL,['human'],['male'],FALSE,22,July,1795,FALSE,1,May,1870,
Marko Tadić,['mathematician'],NULL,NULL,NULL,NULL,['University of Zagreb'],NULL,['Croatian Academy of Sciences and Arts'],['University of Zagreb'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1953,FALSE,NULL,NULL,NULL,
Philip Hall,['mathematician'],['United Kingdom'],London Borough of Camden,30-Dec-82,"[""Christ's Hospital""]",NULL,['Cambridge'],['Royal Society'],NULL,NULL,['English'],NULL,NULL,NULL,NULL,"['Q3968', 'group theory']","['Fellow of the Royal Society', 'De Morgan Medal', '1965']",NULL,['human'],['male'],FALSE,11,April,1904,FALSE,30,December,1982,
Vladimir Vragov,['mathematician'],NULL,Urgench,4-Jun-02,['Novosibirsk State University'],NULL,NULL,NULL,NULL,NULL,NULL,['Doctor of Sciences in Physics and Mathematics'],NULL,NULL,"['rector', 'Novosibirsk State University', '1993', '1997']",NULL,NULL,NULL,['human'],['male'],FALSE,2,October,1945,FALSE,4,June,2002,
Peter Ludwig Mejdell Sylow,"['mathematician', 'professor']",['Norway'],Christiania,7-Sep-18,NULL,NULL,['Christiania'],['Norwegian Academy of Science and Letters'],NULL,NULL,['Norwegian'],NULL,NULL,NULL,NULL,['group theory'],"['Order of Merit for Arts and Science', 'Pour le Mérite']",NULL,['human'],['male'],FALSE,12,December,1832,FALSE,7,September,1918,
Nicolas Sarrabat,"['astronomer', 'mathematician']",['France'],Lyon,27 April 1739,NULL,NULL,['Paris'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,7,February,1698,FALSE,27,April,1739,
Gunther Schmidt,"['computer scientist', 'university teacher', 'mathematician']",['Germany'],Rüdersdorf,NULL,['Ludwig Maximilian University of Munich'],['Technical University of Munich'],NULL,['Bavarian Academy of Sciences and Humanities'],['Technical University of Munich'],NULL,['German'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,28,November,1939,FALSE,NULL,NULL,NULL,
John William Norie,['mathematician'],['United Kingdom'],London,1843,NULL,NULL,NULL,NULL,NULL,NULL,['English'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1772,FALSE,NULL,NULL,1843,
Vladimir Leonidovich Popov,['mathematician'],['Russia'],Moscow,NULL,NULL,NULL,NULL,['American Mathematical Society'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['3±0'],['human'],['male'],FALSE,3,September,1946,FALSE,NULL,NULL,NULL,
Andrew Kalotay,"['mathematician', 'chess player', 'statistician']",['United States of America'],New York City,NULL,"['University of Toronto', ""Queen's University""]",['New York University'],NULL,NULL,['New York University'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1940,FALSE,NULL,NULL,NULL,
Ludwig Bieberbach,"['mathematician', 'university teacher']",['Germany'],Goddelau,1-Sep-82,"['University of Göttingen', 'Heidelberg University']",['University of Basel'],['Oberaudorf'],"['Prussian Academy of Sciences', 'German Academy of Sciences Leopoldina', 'Sturmabteilung']",['University of Basel'],['Felix Klein'],['German'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,4,December,1886,FALSE,1,September,1982,
Sudhakara Dvivedi,"['mathematician', 'historian of mathematics']",['India'],NULL,1910,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1855,FALSE,NULL,NULL,1910,
Joel Brawley,['mathematician'],['United States of America'],NULL,NULL,['North Carolina State University'],['Clemson University'],NULL,NULL,['Clemson University'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1938,FALSE,NULL,NULL,NULL,
Fabian Stedman,[''],NULL,NULL,1713,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1640,FALSE,NULL,NULL,1713,
George Alfred Barnard,"['mathematician', 'statistician']",['United Kingdom'],Walthamstow,9-Aug-02,"[""St John's College""]","['University of Essex', 'Imperial College London']",NULL,NULL,"['University of Essex', 'Imperial College London']",['Alonzo Church'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,23,September,1915,FALSE,9,August,2002,
Thomas Postlethwaite,"['cleric', 'mathematician']",NULL,Lancashire,4 May 1798,['Trinity College'],NULL,['Bath'],NULL,NULL,['Stephen Whisson'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,1731,FALSE,4,May,1798,
Patanjali,"['linguist', 'mathematician', 'philosopher']",['India'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Pierre Wantzel,['mathematician'],['France'],Paris,21 May 1848,['École Polytechnique'],NULL,['Paris'],NULL,NULL,NULL,['French'],NULL,NULL,NULL,NULL,['geometry'],NULL,NULL,['human'],['male'],FALSE,5,June,1814,FALSE,21,May,1848,
Anton von Braunmühl,"['mathematician', 'historian of mathematics', 'university teacher']",['Germany'],Germany,7-Mar-08,NULL,['Technical University of Munich'],['Munich'],['German Academy of Sciences Leopoldina'],['Technical University of Munich'],NULL,['German'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,12,December,1853,FALSE,7,March,1908,
Valentin Naboth,"['mathematician', 'astronomer']",NULL,NULL,3 March 1593,NULL,NULL,['Padua'],NULL,NULL,NULL,['Latin'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['male'],FALSE,13,February,1523,FALSE,3,March,1593,
Donald Aronson,['mathematician'],NULL,NULL,NULL,NULL,NULL,NULL,['American Mathematical Society'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],NULL,FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Jerome Levine,"['mathematician', 'topologist']",['United States of America'],New York City,8-Apr-06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['natural causes'],NULL,['topology'],NULL,NULL,['human'],['male'],FALSE,4,May,1937,FALSE,8,April,2006,
Victor Kac,['mathematician'],"['Soviet Union', 'United States of America']","Buguruslan, Soviet Union",NULL,['Moscow State University'],NULL,NULL,"['American Mathematical Society', 'American Academy of Arts and Sciences']",NULL,['Ernest Vinberg'],['English'],NULL,NULL,NULL,NULL,"['mathematical physics', 'combinatorics']","['John Simon Guggenheim Memorial Foundation Fellowship', 'Wigner Medal', '1996']",['3±0'],['human'],['male'],FALSE,19,December,1943,FALSE,NULL,NULL,NULL,
Shelly Harvey,['mathematician'],['United States of America'],NULL,NULL,NULL,['Rice University'],NULL,['American Mathematical Society'],['Rice University'],['Tim Cochran'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['female'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
Igor Rodnianski,"['mathematician', 'university teacher']",['United States of America'],Ukraine,NULL,NULL,"['Princeton University', 'Massachusetts Institute of Technology']",NULL,NULL,"['Princeton University', 'Massachusetts Institute of Technology']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['Fermat Prize', '2011']",NULL,['human'],['male'],FALSE,28,April,1972,FALSE,NULL,NULL,NULL,
Julia Chuzhoy,['mathematician'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['Joseph Seffi Naor'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['human'],['female'],FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,
